update,Cynthia's Garchomp,N's Zoroark,M-Kangaskhan box,M-Lopunny,Ogerpon,Grookey-Dipplin,Marnie's Grimmsnarl,Dragapult,M-Kangaskhan + Crustle,Ogerpon-Hydrapple,M-Lucario,Alakazam
36,0.947,0.918,0.952,0.887,0.884,0.811,0.875,0.847,0.79,0.781,0.743,0.561
37,0.96,0.948,0.959,0.889,0.892,0.806,0.837,0.839,0.762,0.775,0.712,0.56
38,0.93,0.91,0.948,0.888,0.897,0.797,0.858,0.833,0.782,0.784,0.742,0.563
39,0.95,0.932,0.933,0.914,0.896,0.8,0.848,0.839,0.769,0.773,0.777,0.554
40,0.953,0.928,0.946,0.917,0.882,0.771,0.833,0.828,0.775,0.771,0.708,0.562
41,0.93,0.928,0.953,0.9,0.893,0.802,0.863,0.834,0.785,0.779,0.74,0.56
42,0.97,0.93,0.95,0.897,0.873,0.789,0.832,0.841,0.788,0.792,0.747,0.583
43,0.92,0.93,0.953,0.904,0.906,0.817,0.828,0.844,0.796,0.779,0.747,0.583
44,0.963,0.94,0.94,0.906,0.889,0.824,0.855,0.851,0.792,0.78,0.757,0.562
45,0.95,0.94,0.947,0.896,0.884,0.842,0.862,0.84,0.795,0.793,0.782,0.564
46,0.963,0.943,0.952,0.901,0.883,0.806,0.83,0.845,0.793,0.797,0.791,0.557
47,0.95,0.933,0.942,0.909,0.887,0.811,0.863,0.857,0.788,0.789,0.738,0.578
48,0.96,0.927,0.951,0.908,0.889,0.819,0.895,0.83,0.781,0.797,0.748,0.583
49,0.947,0.925,0.963,0.896,0.888,0.838,0.862,0.837,0.79,0.799,0.808,0.595
50,0.95,0.942,0.951,0.903,0.893,0.832,0.841,0.836,0.784,0.793,0.763,0.573
51,0.963,0.947,0.95,0.931,0.882,0.829,0.84,0.84,0.773,0.807,0.757,0.578
52,0.953,0.925,0.944,0.898,0.869,0.85,0.855,0.853,0.795,0.786,0.775,0.562
53,0.96,0.93,0.95,0.886,0.88,0.81,0.855,0.853,0.802,0.793,0.765,0.596
54,0.983,0.907,0.945,0.906,0.892,0.848,0.832,0.849,0.814,0.781,0.767,0.58
55,0.957,0.943,0.963,0.911,0.88,0.824,0.852,0.835,0.799,0.797,0.788,0.572
56,0.947,0.94,0.955,0.914,0.894,0.846,0.865,0.86,0.792,0.81,0.777,0.558
57,0.97,0.95,0.939,0.918,0.881,0.871,0.867,0.858,0.792,0.79,0.77,0.603
